Subject,Run,TSNE1,TSNE2,TSNE3,Positive,Negative,Future,Past,Myself,People,Surroundings,Images,Words,Specific,Intrusive,Set Label,Group Probability
sub-010115,post-ses-02-run-01-acq-AP,-9.734172,-5.488181,3.3305807,-0.2,0.42857142857142855,-2.2,0.375,0.0,0.2,0.35294117647058826,0.2857142857142857,0.7368421052631579,0.75,0.5714285714285714,Set A,0.8603951900013294
sub-010115,post-ses-02-run-01-acq-PA,-7.3802085,-7.491989,7.4147973,0.2,-0.5714285714285714,-1.8,-0.5,-1.1428571428571428,-1.2,0.23529411764705882,-1.0,0.9473684210526315,0.75,0.5714285714285714,Set A,0.9972057635050694
sub-010115,post-ses-02-run-02-acq-AP,3.3114789,8.741074,3.6480463,-0.6,0.7142857142857143,0.0,0.25,-1.2857142857142858,-0.4,0.47058823529411764,-1.0,0.7368421052631579,-0.625,0.0,Set A,0.9199468035343588
sub-010115,post-ses-02-run-02-acq-PA,-1.2457429,-4.6236925,-4.4569554,0.0,-0.14285714285714285,-0.2,0.375,-1.0,0.0,0.11764705882352941,0.5714285714285714,0.8421052631578947,0.5,0.2857142857142857,Set B,0.9724952032401485
sub-010116,post-ses-02-run-01-acq-AP,-11.792652,4.065618,7.120596,1.4,1.0,1.4,-0.875,0.8571428571428571,-0.6,0.9411764705882353,-1.7142857142857142,1.0526315789473684,0.75,0.14285714285714285,Ambiguous,0.5397540628166015
sub-010116,post-ses-02-run-01-acq-PA,0.17768447,-0.47524378,-15.119532,1.2,1.4285714285714286,0.8,1.0,0.14285714285714285,0.6,-0.47058823529411764,0.14285714285714285,0.8421052631578947,0.75,1.2857142857142858,Set B,0.9975273897195217
sub-010116,post-ses-02-run-02-acq-AP,1.7787809,-0.34420776,-14.933821,1.0,0.8571428571428571,1.0,-0.25,0.8571428571428571,1.0,-0.35294117647058826,0.5714285714285714,0.42105263157894735,0.75,1.5714285714285714,Set B,0.9993062003378147
sub-010116,post-ses-02-run-02-acq-PA,-4.227488,3.298409,-8.634053,0.2,0.2857142857142857,0.4,0.5,0.5714285714285714,0.4,0.47058823529411764,0.42857142857142855,-0.42105263157894735,0.5,1.0,Set B,0.995867361658315
sub-010117,post-ses-02-run-01-acq-AP,6.7040105,-4.0304446,-12.899,-0.2,-0.5714285714285714,0.6,0.125,-0.8571428571428571,1.2,0.8235294117647058,0.8571428571428571,-1.0526315789473684,0.375,0.14285714285714285,Set B,0.9987144514307045
sub-010117,post-ses-02-run-01-acq-PA,-6.7429657,-2.3655634,12.751837,-0.2,-0.8571428571428571,-0.2,0.375,-0.7142857142857143,0.0,1.1764705882352942,-1.4285714285714286,0.5263157894736842,-1.0,-0.7142857142857143,Set A,0.841608669530752
sub-010117,post-ses-02-run-02-acq-AP,-6.713276,-2.103241,10.5462885,-0.6,-0.8571428571428571,-1.8,-0.25,-0.42857142857142855,-0.2,0.9411764705882353,-1.2857142857142858,0.3157894736842105,-0.875,-0.5714285714285714,Set A,0.9976679310761492
